luas_tanah_m2,luas_bangunan_m2,kamar_tidur,umur_bangunan_tahun,jarak_ke_pusat_kota_km,harga_juta
398.28,271.21,5,12.35,17.86,1112.15
247.5,350.97,4,23.81,8.5,1288.27
436.37,197.94,3,2.54,7.06,926.3
363.82,121.7,5,16.66,12.57,705.48
92.38,117.57,1,24.06,12.04,209.3
489.03,306.03,5,27.74,8.77,1457.19
392.51,332.13,5,24.68,12.43,1507.63
403.73,68.95,3,1.11,18.77,514.18
107.65,54.63,4,11.18,9.89,424.07
252.67,249.94,3,1.46,4.74,1005.1
216.86,84.08,2,3.28,8.17,460.04
467.04,335.13,4,20.26,8.49,1453.28
339.74,144.82,2,21.4,3.49,621.48
420.24,83.23,2,23.21,4.09,512.21
249.54,370.76,3,25.96,14.01,1193.49
152.26,91.25,5,22.18,7.45,552.48
299.56,135.35,2,24.03,19.14,364.68
78.72,86.84,3,1.47,5.63,295.01
422.43,72.73,1,7.04,2.88,523.33
334.25,37.82,1,18.66,15.32,314.73
391.14,50.5,1,25.74,17.74,402.62
209.54,94.62,1,0.14,6.28,315.66
486.81,49.75,5,15.44,4.84,523.7
451.9,248.72,5,20.32,4.53,1128.45
400.27,281.86,5,0.89,10.92,1242.81
137.59,175.64,1,12.04,9.9,460.37
260.02,147.66,1,26.87,5.93,543.25
69.71,216.67,2,20.15,1.86,561.87
119.43,353.75,3,7.13,10.15,1175.27
357.37,344.92,2,25.58,19.23,1103.54
385.14,46.09,3,10.44,13.4,457.0
485.38,97.15,1,25.6,10.41,459.01
196.62,117.6,4,8.97,3.1,497.39
216.71,122.27,2,17.71,5.8,421.44
261.3,241.36,1,11.91,6.6,723.02
135.26,184.02,4,8.24,15.53,627.56
108.46,48.22,5,26.6,17.66,484.85
264.07,168.24,1,5.63,18.13,495.3
152.11,223.79,3,2.54,19.71,686.54
351.42,67.62,5,10.26,19.66,375.12
246.72,338.38,4,21.53,19.11,1138.18
424.71,49.23,5,24.22,2.36,552.7
365.12,372.19,3,29.96,3.62,1350.88
190.56,66.67,2,8.89,6.78,427.13
424.52,342.12,4,12.24,11.51,1388.93
412.14,363.98,1,4.1,2.84,1420.13
224.37,392.44,2,17.25,17.07,1292.09
179.75,326.75,4,29.93,12.72,1120.13
357.12,318.41,4,21.03,11.3,1236.57
112.89,267.72,1,17.86,4.14,710.42
139.96,318.23,3,11.77,5.81,1175.59
53.31,79.78,2,27.46,4.05,200.0
404.12,228.35,3,14.91,17.19,728.7
349.18,220.26,5,4.03,12.1,938.23
367.32,347.3,1,10.96,14.97,1170.01
401.33,201.24,5,2.02,6.62,1031.69
256.51,172.48,3,6.06,8.05,700.57
305.93,266.64,4,0.53,8.69,1022.89
112.91,128.59,3,13.6,15.44,507.59
101.54,81.71,2,19.04,15.67,333.08
350.78,206.81,4,10.3,4.93,905.99
261.99,184.25,4,12.61,18.89,796.71
304.36,116.05,1,28.78,3.29,431.25
394.25,165.98,4,22.56,18.03,697.43
335.62,165.57,4,16.23,2.91,814.4
299.11,151.17,2,8.54,6.03,584.43
301.64,170.4,5,26.91,17.08,751.65
186.78,283.73,4,7.05,4.41,1146.77
63.87,139.84,2,9.76,8.86,200.0
246.52,381.08,1,27.27,9.55,1083.65
146.56,369.05,4,15.89,5.66,1202.97
233.84,207.94,2,22.27,14.49,612.41
434.03,151.49,4,17.72,17.18,717.47
155.27,228.11,3,19.6,17.62,583.38
76.24,343.97,3,8.98,7.45,1000.54
176.62,271.46,1,7.24,11.09,695.98
182.12,327.62,4,9.67,5.72,1372.13
347.86,227.11,1,4.66,5.65,911.12
300.66,264.18,3,26.23,4.06,921.06
402.75,136.62,5,8.5,18.86,717.83
348.94,301.91,5,16.84,17.87,1136.08
232.87,104.89,5,23.76,15.77,396.3
416.31,287.08,5,23.51,10.84,1224.79
125.14,348.47,3,13.15,10.32,1043.0
60.22,78.88,2,14.29,11.07,233.12
90.52,257.32,5,29.84,11.19,748.68
375.06,65.19,5,20.24,9.26,506.25
257.84,298.51,5,24.44,3.5,1189.02
122.57,61.26,4,27.08,3.39,391.59
275.47,376.3,1,23.63,19.09,1212.45
118.54,80.84,3,5.56,10.16,247.67
363.34,384.79,3,16.87,19.11,1501.06
250.77,326.33,5,3.06,4.11,1240.19
221.46,249.66,2,19.59,11.53,823.54
185.68,319.57,2,28.66,4.95,987.76
333.63,324.19,1,15.38,5.81,964.22
212.82,380.03,5,12.99,1.57,1456.52
89.44,123.75,4,1.08,3.26,541.21
103.1,248.33,1,28.79,18.42,630.12
482.85,65.17,3,3.09,7.11,532.82
458.86,257.98,3,1.23,12.55,1180.53
364.87,93.38,3,7.38,9.84,606.55
169.64,239.03,5,1.97,8.61,906.22
486.13,241.8,1,13.65,11.11,942.74
400.44,202.41,2,15.48,4.56,934.27
372.6,223.37,1,9.38,19.78,881.1
252.21,312.65,2,1.53,16.55,922.2
172.51,325.72,5,3.35,15.09,1132.74
93.38,212.1,5,11.54,9.91,892.46
456.17,251.85,1,1.82,3.9,847.12
255.1,374.56,4,20.95,18.49,1257.89
141.06,74.3,2,6.21,7.49,264.47
187.68,73.33,1,9.06,1.95,318.05
310.65,62.45,2,11.82,7.51,363.07
129.55,273.41,1,12.5,16.09,661.32
435.48,184.89,3,0.05,12.83,754.36
391.33,316.5,5,3.36,15.27,1284.83
373.76,278.36,3,25.88,16.08,950.82
244.44,153.45,4,0.04,5.03,863.8
332.29,362.4,3,15.25,18.55,1342.07
312.84,312.14,1,14.69,9.32,1074.98
342.43,130.1,1,9.99,13.14,427.18
88.0,164.75,2,12.94,1.04,464.39
237.11,146.34,2,23.42,19.87,402.46
68.73,88.32,5,25.24,6.34,223.71
272.3,84.68,5,7.81,2.18,480.73
198.44,376.37,5,9.67,9.71,1290.14
115.04,192.02,4,7.27,3.45,514.57
96.53,171.83,3,14.4,3.89,458.56
314.44,299.98,4,20.5,13.01,1243.93
126.77,234.61,3,6.85,8.47,745.22
466.3,376.37,4,9.92,18.52,1663.73
311.48,318.71,4,27.91,7.06,1243.53
206.09,207.37,4,1.46,14.8,837.25
315.91,169.25,4,13.82,9.76,666.9
60.26,395.05,1,21.35,13.54,1134.44
481.35,295.57,4,4.51,12.39,1330.27
267.04,381.94,2,1.42,9.98,1275.33
402.23,73.84,4,4.15,19.05,582.77
87.23,344.7,3,27.56,7.51,1107.51
269.0,265.72,5,0.28,4.37,1057.3
270.82,75.11,2,5.65,13.88,273.19
472.02,247.66,5,0.94,17.07,1052.34
307.28,283.86,5,3.32,1.76,1204.5
263.07,34.55,2,18.6,9.54,301.5
170.14,198.1,3,7.25,17.96,580.54
199.21,335.4,3,17.08,15.24,1114.77
284.3,139.28,4,17.71,19.84,648.28
247.51,199.66,4,25.48,11.1,806.72
59.73,193.66,5,0.14,13.54,823.43
421.83,141.71,2,25.6,6.75,702.69
453.27,369.82,3,18.57,19.0,1360.28
113.11,319.08,3,4.88,7.96,1156.92
299.32,70.92,5,23.19,15.03,471.95
98.86,398.9,2,25.66,8.66,1301.64
352.51,355.3,3,7.63,11.67,1342.55
176.56,135.05,1,27.56,14.68,308.36
346.74,339.65,5,13.63,10.67,1253.41
377.15,69.38,2,18.1,18.23,368.05
395.89,399.67,2,29.54,8.97,1340.54
98.48,276.3,3,10.85,13.29,916.8
462.21,270.55,3,24.39,7.5,1208.07
153.6,63.46,5,9.55,8.75,389.74
66.84,361.9,3,23.98,9.36,1134.93
299.68,40.73,3,18.02,3.39,323.96
216.92,119.11,1,6.49,2.74,348.15
423.41,82.92,1,12.42,13.68,463.58
413.71,317.4,2,9.53,13.45,1159.04
192.71,103.34,5,2.34,13.6,697.09
478.8,366.94,5,0.9,1.38,1621.24
180.91,272.82,4,10.39,7.2,1054.51
281.78,43.38,4,0.57,4.76,459.9
165.18,32.01,2,4.96,15.78,280.69
471.22,49.11,1,21.76,17.35,297.35
124.07,254.19,1,21.24,5.69,662.0
70.21,326.55,2,22.16,13.69,896.09
245.79,118.26,2,9.51,3.46,401.26
496.57,344.28,1,26.7,6.23,1313.37
451.25,51.18,2,17.81,3.63,482.08
386.87,326.36,1,3.78,6.39,1185.29
450.86,373.28,4,4.31,13.82,1678.91
452.05,315.68,5,20.79,18.3,1467.49
283.49,288.3,4,5.19,4.85,1088.93
192.17,340.05,3,15.22,11.3,1169.17
397.41,44.86,3,29.75,14.33,341.7
347.75,104.66,2,0.12,19.11,464.91
218.15,76.22,1,0.5,12.59,238.18
92.51,216.68,3,29.79,5.85,772.31
386.06,305.72,3,17.54,12.88,1181.99
168.11,263.1,1,3.81,7.09,730.18
471.57,344.92,3,26.92,19.55,1431.85
158.44,87.43,2,26.41,8.59,200.0
105.24,301.81,1,16.09,14.02,628.84
424.0,101.43,4,18.65,1.44,711.44
118.98,130.18,3,8.2,8.6,466.6
130.67,292.66,4,1.52,17.63,1003.5
319.72,392.68,4,17.84,12.59,1409.95
443.55,256.27,5,8.84,9.43,1168.33
138.4,50.17,5,19.91,18.78,532.6
189.65,258.03,4,25.09,17.23,945.09
399.83,45.67,5,0.54,7.12,584.73
487.32,357.13,3,17.87,11.35,1403.5
275.33,292.54,5,6.94,10.31,1143.16
114.75,94.06,4,26.22,13.01,226.81
56.27,63.94,4,7.61,7.35,365.08
153.35,97.91,5,18.32,5.64,591.13
109.32,392.61,3,16.61,18.34,1128.87
354.95,199.67,4,11.88,18.55,776.42
104.82,320.11,2,20.33,17.02,811.28
277.85,265.47,5,21.77,19.59,954.67
362.42,241.79,4,17.01,15.15,974.23
311.5,83.7,4,22.75,15.53,324.4
139.9,380.03,3,29.5,15.49,1266.16
411.86,141.5,5,12.58,10.13,846.59
371.93,243.87,1,15.44,9.67,790.16
382.54,288.92,1,0.37,5.56,804.06
108.98,270.22,3,23.88,13.25,727.87
105.69,378.02,4,15.61,6.5,1395.85
467.4,84.92,5,12.24,5.9,466.11
228.91,218.09,3,2.82,12.13,738.05
185.43,179.49,4,26.69,8.79,568.42
269.86,205.44,3,11.85,5.16,830.36
348.29,74.11,5,20.48,16.51,495.8
480.03,79.62,4,4.48,17.35,633.03
178.9,132.89,3,28.85,4.19,533.03
466.16,142.74,5,5.35,1.14,1007.26
61.19,188.32,1,5.99,7.39,432.12
299.84,256.07,5,25.77,16.15,1049.67
335.29,264.81,1,27.38,16.94,692.72
97.65,182.37,2,6.36,3.63,627.51
113.15,181.25,5,14.09,15.71,618.87
238.6,110.52,4,22.0,3.2,502.05
484.8,247.67,5,26.35,8.41,1143.97
318.22,147.31,4,11.37,19.97,528.96
469.86,43.34,4,15.51,4.66,555.02
411.96,184.81,2,22.25,3.93,804.03
260.32,205.43,1,21.93,9.03,629.92
403.14,113.47,1,23.49,12.77,317.11
58.03,241.81,2,17.1,18.73,599.28
99.11,239.34,1,3.14,19.64,645.06
423.24,289.74,3,27.12,2.32,987.65
408.57,269.74,4,25.97,3.62,1032.52
154.69,271.4,5,23.94,16.02,1037.67
288.85,147.0,3,3.0,6.14,647.34
322.71,321.35,5,6.13,17.81,1329.51
440.48,233.18,5,22.31,13.61,1205.25
321.4,189.62,5,0.69,3.13,936.96
235.66,261.62,3,29.38,16.82,906.71
218.38,163.44,2,11.31,4.35,772.92
241.65,219.71,5,21.58,9.05,872.03
